OBJECTID,Site ID,Company,Corp,Site,State,PADD,Atmos. Crude Dist,Vacuum Dist,Catalytic Cracking,Hydro Cracking,"Thermal Cracking, Visbreaking",Catalytic Reforming,"Alkylates, Isomerization",Desulfurization,Fluid and Delayed Coking,Asphalt and Road Oil,Source,Period,Latitude,Longitude,Link_Imports,x,y
279,125,CHEVRON USA INC,CHEVRON CORP,PASCAGOULA,Mississippi,3,375.2,330,88,119,0,101.6,22,284.3,104,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",30.344744,-88.489914,1,-9850652.1668,3547940.8874
280,147,DELEK REFINING LTD,DELEK GROUP LTD,TYLER,Texas,3,77.5,28,20.25,0,0,17.5,4.72,77,7.5,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",32.360432,-95.281964,,-10606739.7143,3810716.4756
281,148,PASADENA REFINING SYSTEMS INC,CHEVRON CORP,PASADENA,Texas,3,115.7,38,0,0,0,23,0,39,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",29.721442,-95.206799,,-10598372.3847,3467793.8281
282,150,SILVER EAGLE REFINING,SILVER EAGLE REFINING INC,WOODS CROSS,Utah,4,15.7,7,0,0,0,0,0,4,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",40.867508,-111.910603,,-12457831.3403,4992818.7222
283,153,THE SAN ANTONIO REFINERY LLC,STARLIGHT RELATIVITY ACQUISITION CO,SAN ANTONIO,Texas,3,21,0,0,0,0,6,0,15,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",29.347637,-98.459995,,-10960516.5069,3419967.2805
284,159,ERGON REFINING INC,ERGON INC,VICKSBURG,Mississippi,3,27.3,18,0,0,0,0,0,23,0,10,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",32.385998,-90.907845,1,-10119815.0145,3814086.1975
285,161,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,BATON ROUGE,Louisiana,3,544.6,254,243,27,0,80,43.2,560.5,123.5,40,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",30.486272,-91.169797,1,-10148975.3778,3566209.9712
286,162,PAR MONTANA LLC,PAR PETROLEUM INC,BILLINGS,Montana,4,62.9,32.3,23.66,6.2,0,12.5,5.1,60.9,10,14.5,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",45.814531,-108.434778,1,-12070904.2712,5750677.3344
287,163,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,BAYTOWN,Texas,3,588,297,228,30.6,0,126.5,42,830.4,96,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",29.761431,-94.976798,1,-10572768.7905,3472920.7357
288,164,VALERO REFINING CO CALIFORNIA,VALERO ENERGY CORP,BENICIA,California,5,150,85.5,75.3,34,0,37.2,21.3,169.3,29.5,9,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",38.072007,-122.138319,1,-13596375.4774,4589602.9869
289,168,CVR REFINING CVL LLC,CVR ENERGY,COFFEYVILLE,Kansas,2,136,46,36,0,0,26,10,124,25,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",37.049525,-95.605823,1,-10642791.5332,4446012.1836
290,176,BIG WEST OIL CO,FJ MANAGEMENT INC,NORTH SALT LAKE,Utah,4,33,0,12.5,0,0,8.75,8.1,24.8,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",40.838556,-111.920665,,-12458951.437,4988557.7957
291,177,CVR REFINING WYN LLC,CVR ENERGY,WYNNEWOOD,Oklahoma,2,78,34,22,0,0,18.7,5.5,67.5,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",34.632945,-97.167756,,-10816665.1194,4114111.0406
292,185,HF SINCLAIR NAVAJO REFINING LLC,HF SINCLAIR CORP,ARTESIA,New Mexico,3,124,34.3,30,18,0,24,9.5,118,0,7,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",32.844821,-104.390979,,-11620750.6257,3874724.6141
293,187,CALUMET MONTANA REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",GREAT FALLS,Montana,4,27,10,3,0,0,1.3,2.25,9.75,0,4.7,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",47.523212,-111.295316,1,-12389337.9048,6027897.6921
294,190,HUNT REFINING CO,HUNT CONSLD INC,TUSCALOOSA,Alabama,3,52.5,26,0,24,0,19.5,8.5,61.5,38.5,26,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",33.200487,-87.611011,1,-9752813.1324,3921945.5952
295,191,VALERO REFINING CO CALIFORNIA,VALERO ENERGY CORP,WILMINGTON ASPHALT PLANT,California,5,6.5,5,0,0,0,0,0,0,0,3.5,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",33.798301,-118.236861,1,-13162067.1595,4001750.8261
296,202,KERN OIL & REFINING CO,KERN OIL & REFINING CO,BAKERSFIELD,California,5,27,0,0,0,0,5.8,0,14,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",35.294719,-118.917953,,-13237885.9741,4204004.7569
297,203,FLINT HILLS RESOURCES LP,KOCH INDUSTRIES INC,SAINT PAUL,Minnesota,2,375,234,96,67,0,49,32,341,82,45,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",44.7633,-93.0391,1,-10357065.2359,5584334.5703
298,204,FLINT HILLS RESOURCES LP,KOCH INDUSTRIES INC,CORPUS CHRISTI WEST,Texas,3,275,87.5,58.1,15.5,0,0,15.5,255,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",27.832974,-97.525965,1,-10856540.7629,3227931.906
299,205,FLINT HILLS RESOURCES LP,KOCH INDUSTRIES INC,CORPUS CHRISTI EAST,Texas,3,75,0,49.1,0,0,0,0,33,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",27.804365,-97.424842,,-10845283.8021,3224331.007
300,206,VERTEX REFINING ALABAMA LLC,VERTEX ENERGY LP,SARALAND,Alabama,3,91.2,29,0,0,0,22,1.15,61.7,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",30.7886,-88.0562,,-9802371.3452,3605325.1546
301,209,ULTRAMAR INC,VALERO ENERGY CORP,WILMINGTON REFINERY,California,5,87,46,56.3,0,0,18,22,144,28.8,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",33.779055,-118.233663,,-13161711.1598,3999172.9541
302,217,VALERO REF COMPANY TENNESSEE LLC,VALERO ENERGY CORP,MEMPHIS,Tennessee,2,205,0,70,26.5,0,36,17,132,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",35.084704,-90.082597,,-10027948.8274,4175398.0455
303,223,PAULSBORO REFINING CO LLC,PBF ENERGY CO LLC,PAULSBORO,New Jersey,1,166,90,0,0,0,32,0,107.1,0,21,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",39.840304,-75.257767,1,-8377656.3007,4842762.7571
304,225,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,BEAUMONT,Texas,3,634.4,180,115,70,0,146,69.5,477.3,46.5,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",30.064923,-94.074933,1,-10472373.638,3511897.8225
305,226,TORRANCE REFINING CO LLC,PBF ENERGY CO LLC,TORRANCE,California,5,166.2,102.3,103.6,28.3,0,0,30,153.4,62,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",33.853208,-118.332317,1,-13172693.2728,4009108.4367
306,227,EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,JOLIET,Illinois,2,275,142.1,99.3,0,0,52.6,32,266.9,58.5,17.1,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",41.41471,-88.183309,1,-9816521.0543,5073705.0815
307,228,CHALMETTE REFINING LLC,PBF ENERGY CO LLC,CHALMETTE,Louisiana,3,197,169,75.6,0,0,52.7,16.8,188.6,42,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",29.935151,-89.974393,1,-10015903.6132,3495216.8298
308,237,VALERO REFINING - MERAUX LLC,VALERO ENERGY CORP,MERAUX,Louisiana,3,125.6,56.6,0,48.7,0,32,0,95,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",29.933813,-89.941198,1,-10012208.3627,3495044.9557
309,238,SUPERIOR REFINING COMPANY LLC,CENOVUS MARKETING (USA) INC,SUPERIOR,Wisconsin,2,50,29.1,11.323,0,0,9.3,1.7,40.5,0,20,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",46.690572,-92.067312,1,-10248886.2905,5891712.9921
310,244,CALUMET SHREVEPORT REFINING LLC,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",SHREVEPORT,Louisiana,3,60,28,0,0,0,12,0,52.3,0,6.5,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",32.467561,-93.792592,,-10440943.5816,3824842.9754
311,255,WRB REFINING LP,WRB REFINING LP,BORGER,Texas,3,155,82,60,0,0,33.78,60,192.7,28.38,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",35.693187,-101.365597,,-11283966.642,4258486.0871
312,256,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,SWEENY,Texas,3,286,132.1,111,0,0,46.176,36.3,378.6,78.7,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",29.077881,-95.747538,1,-10658567.1749,3385562.2804
