Date,Day,Month,Year,Company,Pipeline,Key Point,Latitude,Longitude,Direction Of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d),Throughput (GJ/d)
2006-02-04,4,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14025.734158996089,11412.7998046875,456289.43423232436
2006-02-05,5,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51876.58112551843,49090.0,1990849.833831787
2006-02-05,5,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14029.29970217884,12105.5,482022.4424209595
2006-02-06,6,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51868.901598417564,49328.69921875,2002375.162821412
2006-02-06,6,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14032.514428561244,12402.5,500145.67786216736
2006-02-07,7,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51860.52210043393,49701.8984375,2019393.1161430776
2006-02-07,7,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14035.377357577763,11682.099609375,464833.0714633316
2006-02-08,8,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51851.445187507285,50023.80078125,2029545.7292048037
2006-02-08,8,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14037.887615969157,11402.599609375,455838.3018554151
2006-02-09,9,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51841.67362830497,50138.69921875,2035455.722725436
2006-02-09,9,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14040.044438048842,13139.5,522966.5755844116
2006-02-10,10,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51831.210403377416,50078.3984375,2038120.7451608777
2006-02-10,10,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14041.847165936446,12489.7001953125,497006.3946339302
2006-02-11,11,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51820.05870424906,50309.69921875,2039751.3908180594
2006-02-11,11,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14043.295249758468,11804.0,467578.8714904785
2006-02-12,12,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51808.22193244479,41979.30078125,1707780.9029536098
2006-02-12,12,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14044.388247816025,10693.900390625,424306.14926058054
2006-02-13,13,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51795.7036984524,42024.6015625,1713125.8033556938
2006-02-13,13,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14045.12582671955,10009.2998046875,400284.89802225307
